cluster,rank,feature,standardized_mean
0,1,PctPopUnderPov,1.1610843395823605
0,2,agePct16t24,1.061166280850501
0,3,agePct12t21,1.0568982532227782
0,4,PctHousNoPhone,0.9255248702759539
0,5,PctYoungKids2Par,-0.9154715414817147
0,6,medIncome,-0.9121747484029284
0,7,RentLowQ,-0.9115615103952543
0,8,racepctblack,0.9053282754182805
1,1,PctPersOwnOccup,0.8912316010400416
1,2,PctKids2Par,0.8464310838705047
1,3,PctFam2Par,0.8348238249470611
1,4,PctPopUnderPov,-0.8330148608054848
1,5,PctHousOwnOcc,0.8107505192700423
1,6,PctHousLess3BR,-0.7904009447658696
1,7,PctYoungKids2Par,0.7837430611787615
1,8,PctTeen2Par,0.7531093252768847
2,1,racePctHisp,1.5039053072978479
2,2,PctPersDenseHous,1.3979018194273287
2,3,PctSpeakEnglOnly,-1.2466306501652695
2,4,PctNotSpeakEnglWell,1.2286211600436256
2,5,PersPerRentOccHous,1.1712414174312833
2,6,PctLargHouseOccup,1.1388631810655985
2,7,PctLargHouseFam,1.1207734698670149
2,8,PctRecImmig10,0.9759006127062085
3,1,MedOwnCostPctInc,-1.0004311161721515
3,2,RentHighQ,-0.993953818809529
3,3,RentMedian,-0.9735836087302202
3,4,MedRent,-0.9722748151832138
3,5,RentLowQ,-0.9496302495752337
3,6,PctOccupManu,0.9274804354298377
3,7,pctUrban,-0.8481934991563714
3,8,OwnOccLowQuart,-0.8332662737209143
4,1,PctSameState85,-0.900938269073426
4,2,PctBornSameState,-0.8703290928364616
4,3,PctEmplManu,-0.7072923078214906
4,4,PctHousOccup,-0.6992330894314642
4,5,PctSameCity85,-0.6847787739365944
4,6,PctOccupManu,-0.5064832750048797
4,7,PctLess9thGrade,-0.5043775306267413
4,8,PctSameHouse85,-0.477339882154157
5,1,OwnOccLowQuart,1.6239966500414924
5,2,OwnOccMedVal,1.5927528589805113
5,3,perCapInc,1.545270619651721
5,4,OwnOccHiQuart,1.5402800798307568
5,5,whitePerCap,1.481750019288517
5,6,medFamInc,1.470512062537653
5,7,RentMedian,1.4603082081385588
5,8,RentHighQ,1.4281136861110173
6,1,numbUrban,1.911893289512107
6,2,population,1.894278332205244
6,3,NumUnderPov,1.8920239064562914
6,4,HousVacant,1.8629072489509906
6,5,NumIlleg,1.8563918948504694
6,6,NumInShelters,1.6798764375980038
6,7,NumImmig,1.5875785384978902
6,8,PctIlleg,1.5315148071378304
